frame,id,class,xmin,ymin,xmax,ymax
14,9,person,-292,21,2197,1024
14,10,person,955,374,1011,435
14,12,person,1051,348,1101,422
14,13,person,1573,566,1661,701
14,14,person,57,130,71,144
14,15,person,1684,453,1730,558
14,17,person,959,586,1046,709
14,18,person,1857,995,1916,1080
14,19,person,1271,454,1343,521
14,20,person,55,123,69,147
15,1,person,292,226,327,282
15,2,person,598,289,635,361
15,3,person,1381,491,1438,558
15,4,person,255,325,297,402
15,5,person,1473,527,1524,604
15,6,person,129,334,159,399
15,7,person,1274,498,1333,556
15,8,person,963,539,905,445
15,9,person,-294,15,2203,1045
15,10,person,955,373,1012,435
15,12,person,1050,347,1101,423
15,13,person,1574,567,1660,700
15,14,person,58,130,71,144
15,15,person,1683,453,1730,558
15,17,person,957,585,1045,709
15,18,person,1848,990,1912,1079
15,19,person,1271,453,1344,521
15,20,person,54,123,69,148
15,23,person,1693,53,1720,91
16,1,person,292,226,327,281
16,2,person,597,288,634,360
16,3,person,1380,491,1439,558
16,4,person,256,328,297,403
16,5,person,1473,527,1524,605
16,6,person,125,336,162,413
16,7,person,1275,497,1334,557
16,8,person,960,535,894,427
16,9,person,-276,14,2186,1050
16,10,person,954,371,1012,436
16,12,person,1050,346,1102,423
16,13,person,1574,567,1660,700
16,14,person,58,130,72,144
16,15,person,1683,453,1730,558
16,17,person,955,583,1043,709
16,18,person,1844,988,1911,1079
16,19,person,1271,453,1345,522
16,20,person,54,123,69,148
16,23,person,1693,53,1719,90
17,1,person,291,225,327,281
17,2,person,597,288,634,360
17,3,person,1381,491,1439,558
17,4,person,260,337,299,410
17,5,person,1473,527,1524,606
17,6,person,124,336,163,417
17,7,person,1275,496,1335,557
17,8,person,957,530,883,409
17,9,person,-253,14,2169,1054
17,10,person,953,371,1013,437
17,12,person,1049,346,1102,424
17,13,person,1574,567,1660,700
17,14,person,59,130,72,144
17,15,person,1683,453,1730,558
17,17,person,953,580,1041,708
17,18,person,1843,986,1913,1079
17,19,person,1271,453,1346,522
17,20,person,55,123,69,148
17,23,person,1694,54,1719,90
18,1,person,291,225,327,281
18,2,person,597,288,634,360
18,3,person,1381,491,1439,558
18,4,person,262,342,301,414
18,5,person,1473,527,1525,606
18,6,person,129,338,167,418
18,7,person,1275,496,1335,557
18,8,person,954,526,872,391
18,9,person,-230,15,2146,1053
18,10,person,953,370,1013,437
18,12,person,1050,345,1101,423
18,13,person,1574,566,1660,700
18,14,person,60,131,73,144
18,15,person,1683,453,1730,558
18,17,person,952,578,1040,708
18,18,person,1844,983,1915,1079
18,19,person,1271,453,1347,523
18,20,person,55,122,70,148
18,23,person,1694,55,1718,90
19,1,person,291,225,327,282
19,2,person,597,288,634,360
19,3,person,1382,490,1439,558
19,4,person,264,342,303,416
19,5,person,1474,527,1525,606
19,6,person,131,338,171,420
19,7,person,1276,496,1334,558
19,8,person,951,522,861,374
19,9,person,-208,16,2123,1052
19,10,person,953,369,1013,438
19,12,person,1050,345,1101,423
19,13,person,1574,566,1661,700
19,14,person,60,131,73,144
19,15,person,1683,453,1729,558
19,17,person,951,571,1023,676
19,18,person,1844,981,1916,1079
19,19,person,1271,452,1348,524
19,20,person,54,122,69,148
19,23,person,1694,55,1718,89
20,1,person,291,225,327,282
20,2,person,597,288,633,360
20,3,person,1382,490,1439,558
20,4,person,265,340,306,418
20,5,person,1474,527,1525,606
20,6,person,133,339,172,423
20,7,person,1276,496,1334,557
20,8,person,949,517,850,356
20,9,person,-186,18,2097,1048
20,10,person,954,369,1012,437
20,12,person,1050,345,1102,423
20,13,person,1574,566,1661,699
20,14,person,61,131,74,144
20,15,person,1683,453,1729,558
20,17,person,949,569,1016,664
20,18,person,1842,979,1916,1078
20,19,person,1272,452,1349,524
20,20,person,54,121,69,148
20,23,person,1694,56,1717,89
21,1,person,291,225,326,282
21,2,person,598,288,634,360
21,3,person,1382,491,1439,558
21,4,person,267,340,309,420
21,5,person,1474,527,1525,606
21,6,person,135,341,173,421
21,7,person,1276,496,1334,557
21,8,person,946,513,839,338
21,9,person,-171,18,2082,1050
21,10,person,954,369,1012,437
21,12,person,1050,346,1101,423
21,13,person,1574,566,1661,699
21,14,person,62,132,74,144
21,15,person,1683,453,1729,558
21,17,person,948,567,1013,659
21,18,person,1839,977,1916,1078
21,19,person,1272,452,1350,525
21,20,person,54,121,69,148
21,23,person,1694,57,1716,89
22,1,person,291,225,326,283
22,2,person,598,287,634,360
22,3,person,1382,491,1439,557
22,4,person,269,340,310,420
22,5,person,1474,527,1525,606
22,6,person,135,341,172,418
22,7,person,1276,496,1334,558
22,8,person,943,509,828,320
22,9,person,-159,16,2072,1052
22,10,person,954,369,1012,437
22,12,person,1051,346,1101,422
22,13,person,1574,566,1661,699
22,14,person,63,132,74,144
22,15,person,1683,453,1729,559
22,17,person,948,565,1014,660
22,18,person,1839,977,1917,1078
22,19,person,1272,452,1351,525
22,20,person,54,121,69,148
22,23,person,1695,58,1716,88
23,1,person,290,225,326,283
23,2,person,598,287,634,359
23,3,person,1382,491,1439,557
23,4,person,270,340,312,422
23,5,person,1474,527,1525,606
23,6,person,135,341,173,421
23,7,person,1276,496,1334,558
23,8,person,940,504,817,303
23,9,person,-154,12,2066,1057
23,10,person,954,369,1012,438
23,12,person,1051,346,1101,422
23,13,person,1574,566,1661,699
23,14,person,63,132,75,144
23,15,person,1683,453,1729,559
23,17,person,947,564,1015,662
23,18,person,1838,977,1916,1078
23,19,person,1272,451,1352,526
23,20,person,54,121,70,148
23,23,person,1695,58,1715,88
24,1,person,289,225,326,284
24,2,person,598,287,634,359
24,3,person,1381,491,1439,558
24,4,person,271,338,313,422
24,5,person,1473,526,1525,607
24,6,person,136,342,174,423
24,7,person,1276,496,1334,558
24,8,person,938,500,806,285
24,9,person,-144,9,2057,1060
24,10,person,954,370,1011,438
24,12,person,1050,346,1102,422
24,13,person,1574,566,1661,699
24,14,person,64,133,75,144
24,15,person,1682,453,1729,559
24,17,person,945,564,1014,664
24,18,person,1835,975,1915,1078
24,19,person,1272,451,1353,526
24,20,person,54,121,70,148
24,23,person,1695,59,1715,88
25,1,person,289,224,326,285
25,2,person,598,287,634,359
25,3,person,1381,491,1438,558
25,4,person,272,338,314,421
25,5,person,1474,527,1524,606
25,6,person,138,344,174,419
25,7,person,1276,497,1332,558
25,8,person,935,495,795,267
25,9,person,-134,7,2042,1059
25,10,person,954,371,1009,436
25,12,person,1050,345,1102,423
25,13,person,1573,567,1659,701
25,14,person,65,133,76,144
25,15,person,1682,453,1729,559
25,17,person,940,563,1012,666
25,18,person,1828,973,1912,1078
25,19,person,1272,451,1354,527
25,20,person,54,121,70,148
25,23,person,1695,60,1714,87
26,1,person,290,226,326,285
26,2,person,598,287,634,360
26,3,person,1381,490,1438,558
26,4,person,276,340,317,422
26,5,person,1474,527,1523,604
26,6,person,140,345,177,422
26,7,person,1275,497,1331,557
26,8,person,932,491,784,250
26,9,person,-126,6,2032,1061
26,10,person,954,372,1008,435
26,12,person,1051,346,1102,423
26,13,person,1572,566,1660,702
26,14,person,66,133,76,144
26,15,person,1682,453,1729,559
26,17,person,935,562,1008,667
26,18,person,1822,971,1909,1078
26,19,person,1272,451,1355,528
26,20,person,54,121,70,148
26,23,person,1695,61,1714,87
27,1,person,290,227,325,286
27,2,person,599,287,635,360
27,3,person,1381,491,1438,558
27,4,person,278,342,319,423
27,5,person,1473,527,1523,604
27,6,person,141,347,179,425
27,7,person,1275,497,1331,557
27,8,person,929,487,773,232
27,9,person,-118,5,2016,1060
27,10,person,955,372,1008,435
27,12,person,1051,346,1102,423
27,13,person,1572,566,1660,703
27,14,person,66,134,77,144
27,15,person,1682,453,1729,559
27,17,person,934,561,1006,664
27,18,person,1817,970,1906,1078
27,19,person,1271,454,1342,522
27,20,person,54,120,70,149
27,23,person,1696,61,1713,87
28,1,person,291,228,326,286
28,2,person,600,288,636,360
28,3,person,1382,491,1438,557
28,4,person,280,342,322,426
