0.000000000000000000e+00,0.000000000000000000e+00
5.309999999999999609e+00,0.000000000000000000e+00
8.089999999999999858e+00,0.000000000000000000e+00
2.114999999999999858e+01,0.000000000000000000e+00
4.115368365298917475e+00,9.621208570551505801e+00
2.923801365978111910e+00,1.197811775681404001e+01
1.371790630287791357e+00,1.525021984582861556e+01
-4.323945114604103024e-01,1.897054685022868625e+01
-1.985979401019789758e+00,2.211394927698390944e+01
-3.772157385321818879e+00,2.580730506446767691e+01
-7.007271622244227061e+00,2.581997633316885299e+01
-1.211145137655627302e+01,2.581217366513010347e+01
