5.100000000000000000e+02,3.780000000000000000e+02
6.670000000000000000e+02,3.410000000000000000e+02
7.360000000000000000e+02,3.250000000000000000e+02
9.910000000000000000e+02,2.590000000000000000e+02
9.190000000000000000e+02,4.060000000000000000e+02
9.940000000000000000e+02,4.260000000000000000e+02
1.092000000000000000e+03,4.670000000000000000e+02
1.222000000000000000e+03,5.290000000000000000e+02
1.355000000000000000e+03,5.890000000000000000e+02
1.571000000000000000e+03,6.830000000000000000e+02
1.505000000000000000e+03,7.800000000000000000e+02
1.340000000000000000e+03,9.980000000000000000e+02
