frame,id,class,x,y
2,4,motorbike,534.5569398089626,561.2865288215739
2,6,motorbike,925.2962116603422,609.8577731249331
2,12,motorbike,823.1026592220176,455.6781135562517
3,4,motorbike,534.5569398089626,561.2865288215739
3,6,motorbike,925.4882191310348,610.8555184105439
3,12,motorbike,822.9185269939792,455.8038348365177
4,4,motorbike,534.5569398089626,561.2865288215739
4,6,motorbike,925.4117226066181,612.0125052569744
4,12,motorbike,822.9185269939792,455.8038348365177
5,4,motorbike,534.5569398089626,561.2865288215739
5,6,motorbike,925.1441228452971,612.1761839665373
5,12,motorbike,822.9185269939792,455.8038348365177
6,4,motorbike,534.3834634800942,561.4106589767673
6,6,motorbike,925.0103398515016,612.2580129923849
6,12,motorbike,822.9185269939792,455.8038348365177
7,4,motorbike,534.3834634800942,561.4106589767673
7,6,motorbike,924.6682302815615,613.5720890839661
7,12,motorbike,822.9185269939792,455.8038348365177
8,4,motorbike,534.3834634800942,561.4106589767673
8,6,motorbike,924.5939975015334,614.7172124174878
8,12,motorbike,822.9185269939792,455.8038348365177
9,4,motorbike,534.3834634800942,561.4106589767673
9,6,motorbike,924.1946557476916,614.9611948731467
9,12,motorbike,823.1026592220176,455.6781135562517
10,4,motorbike,532.802431352125,559.7737162262667
10,6,motorbike,923.9284836376653,615.1238157972231
10,12,motorbike,823.1026592220176,455.6781135562517
11,4,motorbike,534.3834634800942,561.4106589767673
11,6,motorbike,923.9165956113089,617.3150810703768
11,12,motorbike,823.1026592220176,455.6781135562517
11,18,motorbike,893.3800852296729,524.1361434935435
12,4,motorbike,534.3834634800942,561.4106589767673
12,6,motorbike,923.448176038133,618.6853461570458
12,12,motorbike,823.1026592220176,455.6781135562517
12,18,motorbike,893.3800852296729,524.1361434935435
13,4,motorbike,534.5569398089626,561.2865288215739
13,6,motorbike,922.9197509966389,619.0076501886399
13,12,motorbike,822.9185269939792,455.8038348365177
13,18,motorbike,893.70143000197,523.9286219533129
14,4,motorbike,534.5569398089626,561.2865288215739
14,6,motorbike,922.8502318738559,620.1293349326921
14,12,motorbike,822.9185269939792,455.8038348365177
14,18,motorbike,893.70143000197,523.9286219533129
15,4,motorbike,534.5569398089626,561.2865288215739
15,6,motorbike,922.3915016371957,619.3298470658999
15,12,motorbike,822.9185269939792,455.8038348365177
15,18,motorbike,893.70143000197,523.9286219533129
16,4,motorbike,534.5569398089626,561.2865288215739
16,6,motorbike,922.1914724098526,620.5309105277236
16,12,motorbike,822.9185269939792,455.8038348365177
16,18,motorbike,893.8621269893513,523.8248452959444
17,4,motorbike,534.5569398089626,561.2865288215739
17,6,motorbike,921.7295739116607,621.8865042285156
17,12,motorbike,822.9185269939792,455.8038348365177
17,18,motorbike,894.0228403809032,523.7210580449114
18,4,motorbike,534.5569398089626,561.2865288215739
18,6,motorbike,921.1380251879765,621.173085279018
18,12,motorbike,822.9185269939792,455.8038348365177
18,18,motorbike,894.1835701791373,523.6172601985918
19,4,motorbike,534.3834634800942,561.4106589767673
19,6,motorbike,921.0078060096744,623.3951799323156
19,12,motorbike,822.9185269939792,455.8038348365177
19,18,motorbike,894.1835701791373,523.6172601985918
20,4,motorbike,534.3834634800942,561.4106589767673
20,6,motorbike,920.483762198334,623.7142801549928
20,12,motorbike,822.9185269939792,455.8038348365177
20,18,motorbike,894.3443163865664,523.5134517553629
21,4,motorbike,534.3834634800942,561.4106589767673
21,6,motorbike,920.4202968522648,624.8168511939418
21,12,motorbike,822.3186074446171,453.8924304774857
21,18,motorbike,894.5050790057031,523.4096327136018
22,4,motorbike,534.2100087271127,561.5347736934382
22,6,motorbike,919.9659954939426,626.1523272867539
22,12,motorbike,822.3186074446171,453.8924304774857
22,18,motorbike,894.5050790057031,523.4096327136018
23,4,motorbike,534.2100087271127,561.5347736934382
23,6,motorbike,920.4202968522648,624.8168511939418
23,12,motorbike,822.3186074446171,453.8924304774857
23,18,motorbike,894.6658580390614,523.3058030716855
24,4,motorbike,532.6284998020135,559.8983448321922
24,6,motorbike,920.0963593167079,626.0730334451866
24,12,motorbike,822.3186074446171,453.8924304774857
24,18,motorbike,894.6658580390614,523.3058030716855
25,4,motorbike,532.802431352125,559.7737162262667
25,6,motorbike,920.812413100619,624.5782155523862
25,12,motorbike,822.734416795158,455.9295410757371
25,18,motorbike,894.9874653584982,523.0981119808926
26,4,motorbike,534.3834634800942,561.4106589767673
26,6,motorbike,920.5509915087324,624.7373125282402
26,12,motorbike,822.9185269939792,455.8038348365177
26,18,motorbike,894.9874653584982,523.0981119808926
27,4,motorbike,534.3834634800942,561.4106589767673
27,6,motorbike,920.8767788414784,623.4749648618259
27,12,motorbike,822.734416795158,455.9295410757371
27,18,motorbike,894.9874653584982,523.0981119808926
28,4,motorbike,534.3834634800942,561.4106589767673
28,6,motorbike,921.7295739116607,621.8865042285156
28,12,motorbike,822.9185269939792,455.8038348365177
28,18,motorbike,895.3091383649955,522.8903784699917
29,4,motorbike,534.3834634800942,561.4106589767673
29,6,motorbike,918.272239474895,627.1825549878063
29,12,motorbike,822.3186074446171,453.8924304774857
29,18,motorbike,895.3091383649955,522.8903784699917
30,4,motorbike,534.3834634800942,561.4106589767673
30,6,motorbike,917.8816293160471,627.4201437558648
30,12,motorbike,822.6879972649315,453.6399409260073
30,18,motorbike,915.6177671011552,629.8499446017869
31,4,motorbike,534.3834634800942,561.4106589767673
31,6,motorbike,917.6944919379047,628.5874655876557
31,12,motorbike,822.0853466961709,451.7152588742267
31,18,motorbike,915.5140313836401,632.0044595135878
32,4,motorbike,534.3834634800942,561.4106589767673
32,6,motorbike,917.304898824537,628.824306367413
32,12,motorbike,822.0853466961709,451.7152588742267
32,18,motorbike,915.5913492260561,632.9962763163556
32,23,motorbike,556.2724938096735,522.7910735116682
33,4,motorbike,534.3834634800942,561.4106589767673
33,6,motorbike,914.5307916216134,631.5584758289411
33,12,motorbike,822.6879972649315,453.6399409260073
33,18,motorbike,916.4082474450256,636.6107760158652
33,23,motorbike,556.2724938096735,522.7910735116682
34,4,motorbike,534.3834634800942,561.4106589767673
34,6,motorbike,914.4813823202113,632.6315445451696
34,12,motorbike,822.6879972649315,453.6399409260073
34,18,motorbike,917.0845520378097,640.2404358341291
34,23,motorbike,554.7034448911347,520.9550438277489
35,4,motorbike,534.3834634800942,561.4106589767673
35,6,motorbike,913.320455920471,633.3365270932851
35,12,motorbike,822.8727254336344,453.5136734170069
35,18,motorbike,917.749408567971,643.8086550332671
35,23,motorbike,554.7034448911347,520.9550438277489
36,4,motorbike,534.3834634800942,561.4106589767673
36,6,motorbike,912.6307486941478,634.7931564602518
36,12,motorbike,822.8727254336344,453.5136734170069
36,18,motorbike,918.4031052744484,647.3169805631371
36,23,motorbike,553.1235285151083,519.1062975393311
37,4,motorbike,534.3834634800942,561.4106589767673
37,6,motorbike,911.8593272488401,635.2613560240599
37,12,motorbike,823.4709897815634,455.42662586178056
37,18,motorbike,919.0459208003543,650.7669078737481
37,23,motorbike,553.1235285151083,519.1062975393311
38,4,motorbike,532.802431352125,559.7737162262667
38,6,motorbike,912.2009446374494,636.0870668293296
38,12,motorbike,823.8394085054392,455.1750779707183
38,18,motorbike,919.6781245890005,654.1598830406865
38,23,motorbike,553.1235285151083,519.1062975393311
39,4,motorbike,534.3834634800942,561.4106589767673
39,6,motorbike,912.2009446374494,636.0870668293296
39,12,motorbike,823.6551881209817,455.30085944217404
39,18,motorbike,920.2999772604693,657.4973047861445
39,23,motorbike,554.7034448911347,520.9550438277489
40,4,motorbike,534.3834634800942,561.4106589767673
40,6,motorbike,913.3094538615712,636.4434705052347
40,12,motorbike,823.6551881209817,455.30085944217404
40,18,motorbike,921.0324150589051,660.708458041385
40,23,motorbike,554.7034448911347,520.9550438277489
41,4,motorbike,534.3834634800942,561.4106589767673
41,6,motorbike,915.3093321896707,636.2559119198206
41,12,motorbike,824.0654595307515,457.3274450631749
41,18,motorbike,921.6333644204847,663.9394914927828
41,23,motorbike,554.7034448911347,520.9550438277489
42,4,motorbike,534.3834634800942,561.4106589767673
42,6,motorbike,916.7175691185606,635.4025812601749
42,12,motorbike,824.0654595307515,457.3274450631749
42,18,motorbike,922.2247098955544,667.1188891815688
42,23,motorbike,554.8858132170395,520.82286886459
43,4,motorbike,534.3834634800942,561.4106589767673
43,6,motorbike,916.7175691185606,635.4025812601749
43,12,motorbike,824.0654595307515,457.3274450631749
43,18,motorbike,922.8066798814008,670.2478790968535
43,23,motorbike,554.8858132170395,520.82286886459
44,4,motorbike,534.3834634800942,561.4106589767673
44,6,motorbike,916.9194135205082,636.3011960190789
44,12,motorbike,824.0654595307515,457.3274450631749
44,18,motorbike,923.325043060349,672.5101287667673
44,23,motorbike,554.7034448911347,520.9550438277489
45,4,motorbike,534.3834634800942,561.4106589767673
45,6,motorbike,916.9194135205082,636.3011960190789
45,12,motorbike,824.0654595307515,457.3274450631749
45,18,motorbike,923.8904622736369,675.5542357089988
45,23,motorbike,553.1235285151083,519.1062975393311
46,4,motorbike,532.802431352125,559.7737162262667
46,6,motorbike,917.1203948165861,637.1959682157635
46,12,motorbike,824.656170668952,459.21624609216354
46,18,motorbike,924.4471080617865,678.5511082387056
46,23,motorbike,552.940655323165,519.239033389379
47,4,motorbike,532.802431352125,559.7737162262667
47,6,motorbike,917.1203948165861,637.1959682157635
47,12,motorbike,824.0654595307515,457.3274450631749
47,18,motorbike,924.9951830542861,681.5018372735933
47,23,motorbike,554.5211002370835,521.0872016342753
48,4,motorbike,532.802431352125,559.7737162262667
48,6,motorbike,917.3205185310671,638.0869224443877
48,12,motorbike,824.0654595307515,457.3274450631749
48,18,motorbike,925.6485948571116,684.3405194795619
48,23,motorbike,554.5211002370835,521.0872016342753
49,4,motorbike,534.2100087271127,561.5347736934382
49,6,motorbike,917.3205185310671,638.0869224443877
49,12,motorbike,824.0654595307515,457.3274450631749
49,18,motorbike,926.1792682986375,687.2027114348408
49,23,motorbike,554.8858132170395,520.82286886459
50,4,motorbike,534.2100087271127,561.5347736934382
50,6,motorbike,917.519790141181,638.9740830896723
50,12,motorbike,824.0654595307515,457.3274450631749
50,18,motorbike,926.7019550185328,690.0218269355425
50,23,motorbike,556.4543363806964,522.6594719269017
51,4,motorbike,534.2100087271127,561.5347736934382
51,6,motorbike,917.5914622165011,639.9340788703491
51,12,motorbike,823.8818318289642,457.452684292225
51,18,motorbike,927.216833972333,692.7988311799459
51,23,motorbike,556.2724938096735,522.7910735116682
52,4,motorbike,535.7810933869154,563.1604162933374
52,6,motorbike,917.5914622165011,639.9340788703491
52,12,motorbike,824.0654595307515,457.3274450631749
52,18,motorbike,927.8344977649299,695.4700692902264
52,23,motorbike,556.2724938096735,522.7910735116682
53,4,motorbike,535.7810933869154,563.1604162933374
