frame,id,class,x,y
2,1,motorbike,467.23313406371824,627.8110486448446
2,2,motorbike,509.1951666317441,613.2749720724179
2,3,motorbike,489.015352284669,620.004007056438
2,4,motorbike,390.01265027276395,393.3664637953795
3,1,motorbike,467.23313406371824,627.8110486448446
3,2,motorbike,509.03299252137276,613.3890294515114
3,3,motorbike,489.015352284669,620.004007056438
3,4,motorbike,390.01265027276395,393.3664637953795
4,1,motorbike,465.5194753775752,626.4652141202783
4,2,motorbike,509.1951666317441,613.2749720724179
4,3,motorbike,489.015352284669,620.004007056438
4,4,motorbike,390.01265027276395,393.3664637953795
5,1,motorbike,465.5194753775752,626.4652141202783
5,2,motorbike,509.1951666317441,613.2749720724179
5,3,motorbike,489.015352284669,620.004007056438
5,4,motorbike,390.01265027276395,393.3664637953795
6,1,motorbike,465.5194753775752,626.4652141202783
6,2,motorbike,509.03299252137276,613.3890294515114
6,3,motorbike,489.015352284669,620.004007056438
6,4,motorbike,390.01265027276395,393.3664637953795
6,7,motorbike,765.8258824955102,395.8031459627177
7,1,motorbike,465.5194753775752,626.4652141202783
7,2,motorbike,509.1951666317441,613.2749720724179
7,3,motorbike,489.1769731337345,619.8898991722575
7,4,motorbike,387.2718678520039,390.44679647966
7,7,motorbike,766.7004772386621,398.1546997962313
8,1,motorbike,465.5194753775752,626.4652141202783
8,2,motorbike,509.03299252137276,613.3890294515114
8,3,motorbike,489.1769731337345,619.8898991722575
8,4,motorbike,387.2718678520039,390.44679647966
8,7,motorbike,767.5688524040019,400.48953083080124
9,1,motorbike,465.5194753775752,626.4652141202783
9,2,motorbike,509.1951666317441,613.2749720724179
9,3,motorbike,489.1769731337345,619.8898991722575
9,4,motorbike,387.4912289057909,390.2669001067053
9,7,motorbike,767.5688524040019,400.48953083080124
9,9,motorbike,971.0736143990699,782.0351387895788
10,1,motorbike,465.5194753775752,626.4652141202783
10,2,motorbike,509.1951666317441,613.2749720724179
10,3,motorbike,487.5377766123269,618.5235133873393
10,4,motorbike,387.2718678520039,390.44679647966
10,7,motorbike,768.8340440106527,402.5206557375264
10,9,motorbike,971.0175159209844,782.8599543514778
11,1,motorbike,465.5194753775752,626.4652141202783
11,2,motorbike,509.1951666317441,613.2749720724179
11,3,motorbike,489.1769731337345,619.8898991722575
11,4,motorbike,387.2718678520039,390.44679647966
11,7,motorbike,769.640306182161,401.94610386493287
11,9,motorbike,971.5323305690158,783.3665343537193
12,1,motorbike,465.5194753775752,626.4652141202783
12,2,motorbike,509.03299252137276,613.3890294515114
12,3,motorbike,489.1769731337345,619.8898991722575
12,4,motorbike,387.4912289057909,390.2669001067053
12,7,motorbike,769.8419389131534,401.8024180177461
12,9,motorbike,971.5280615391864,784.5454848769734
13,1,motorbike,465.5194753775752,626.4652141202783
13,2,motorbike,509.1951666317441,613.2749720724179
13,3,motorbike,489.1769731337345,619.8898991722575
13,4,motorbike,387.4912289057909,390.2669001067053
13,7,motorbike,771.0955213200094,403.82284863495596
13,9,motorbike,973.4277896051688,783.1103368036502
14,1,motorbike,465.5194753775752,626.4652141202783
14,2,motorbike,509.03299252137276,613.3890294515114
14,3,motorbike,489.015352284669,620.004007056438
