frame,id,class,x,y
2,1,motorbike,467.23313406371824,627.8110486448446
2,4,motorbike,390.01265027276395,393.3664637953795
3,1,motorbike,467.23313406371824,627.8110486448446
3,4,motorbike,390.01265027276395,393.3664637953795
4,1,motorbike,465.5194753775752,626.4652141202783
4,4,motorbike,390.01265027276395,393.3664637953795
5,1,motorbike,465.5194753775752,626.4652141202783
5,4,motorbike,390.01265027276395,393.3664637953795
6,1,motorbike,465.5194753775752,626.4652141202783
6,4,motorbike,390.01265027276395,393.3664637953795
6,7,motorbike,765.8258824955102,395.8031459627177
7,1,motorbike,465.5194753775752,626.4652141202783
7,4,motorbike,387.2718678520039,390.44679647966
7,7,motorbike,766.7004772386621,398.1546997962313
8,1,motorbike,465.5194753775752,626.4652141202783
8,4,motorbike,387.2718678520039,390.44679647966
8,7,motorbike,767.5688524040019,400.48953083080124
9,1,motorbike,465.5194753775752,626.4652141202783
9,4,motorbike,387.4912289057909,390.2669001067053
9,7,motorbike,767.5688524040019,400.48953083080124
9,9,motorbike,971.0736143990699,782.0351387895788
10,1,motorbike,465.5194753775752,626.4652141202783
10,4,motorbike,387.2718678520039,390.44679647966
10,7,motorbike,768.8340440106527,402.5206557375264
10,9,motorbike,971.0175159209844,782.8599543514778
11,1,motorbike,465.5194753775752,626.4652141202783
11,4,motorbike,387.2718678520039,390.44679647966
11,7,motorbike,769.640306182161,401.94610386493287
11,9,motorbike,971.5323305690158,783.3665343537193
12,1,motorbike,465.5194753775752,626.4652141202783
12,4,motorbike,387.4912289057909,390.2669001067053
12,7,motorbike,769.8419389131534,401.8024180177461
12,9,motorbike,971.5280615391864,784.5454848769734
13,1,motorbike,465.5194753775752,626.4652141202783
13,4,motorbike,387.4912289057909,390.2669001067053
13,7,motorbike,771.0955213200094,403.82284863495596
13,9,motorbike,973.4277896051688,783.1103368036502
14,1,motorbike,465.5194753775752,626.4652141202783
14,4,motorbike,387.4912289057909,390.2669001067053
14,7,motorbike,772.3406087096818,405.8295876171223
14,9,motorbike,973.5221952312365,786.9251089077226
15,1,motorbike,465.5194753775752,626.4652141202783
15,4,motorbike,387.4912289057909,390.2669001067053
15,7,motorbike,773.5772871414811,407.82277366822245
15,9,motorbike,973.6881449707765,788.728983570586
16,1,motorbike,467.23313406371824,627.8110486448446
16,4,motorbike,387.2718678520039,390.44679647966
16,7,motorbike,773.9770396670377,407.53905137835704
16,9,motorbike,974.5180155031067,789.7726477987761
17,1,motorbike,467.07228923254377,627.9250560425635
17,4,motorbike,387.2718678520039,390.44679647966
17,7,motorbike,774.176955507697,407.3971621432278
17,9,motorbike,975.0234653040035,790.9787224732125
18,1,motorbike,467.23313406371824,627.8110486448446
18,4,motorbike,390.2312737613594,393.1875994236795
18,7,motorbike,776.0257555954977,411.7690324883142
18,9,motorbike,975.3204533526664,791.918251483439
19,1,motorbike,467.23313406371824,627.8110486448446
19,4,motorbike,390.01265027276395,393.3664637953795
19,7,motorbike,777.0396402332877,413.8623987798294
19,9,motorbike,975.8625559293024,793.4397303336638
20,1,motorbike,465.5194753775752,626.4652141202783
20,4,motorbike,390.2312737613594,393.1875994236795
20,7,motorbike,778.0466375143882,415.9415447549548
20,9,motorbike,976.5871799397214,794.481694157429
21,1,motorbike,465.5194753775752,626.4652141202783
21,4,motorbike,390.2312737613594,393.1875994236795
21,7,motorbike,779.046817380353,418.0066148219259
21,9,motorbike,977.0289651829722,795.3092881695181
22,1,motorbike,465.5194753775752,626.4652141202783
22,4,motorbike,390.2312737613594,393.1875994236795
22,7,motorbike,779.4405649001892,417.72898004262396
22,9,motorbike,977.5371733984923,795.3866442572229
23,1,motorbike,465.5194753775752,626.4652141202783
23,4,motorbike,390.01265027276395,393.3664637953795
23,7,motorbike,780.4327963240315,419.78131871371835
23,9,motorbike,977.8540537801679,795.9200949728223
24,1,motorbike,465.5194753775752,626.4652141202783
24,4,motorbike,390.01265027276395,393.3664637953795
24,7,motorbike,781.4183546097236,421.8198546174796
24,9,motorbike,978.718585756822,797.5465218794607
25,1,motorbike,465.5194753775752,626.4652141202783
25,4,motorbike,390.01265027276395,393.3664637953795
25,7,motorbike,781.6140697889905,421.6822077369454
25,9,motorbike,979.1060622561789,798.0277824665493
26,1,motorbike,465.5194753775752,626.4652141202783
26,4,motorbike,390.2312737613594,393.1875994236795
26,7,motorbike,782.5924289541516,423.70767107579405
26,9,motorbike,979.4992627303901,800.5478587537096
27,1,motorbike,465.5194753775752,626.4652141202783
27,4,motorbike,390.2312737613594,393.1875994236795
27,7,motorbike,783.7588092990019,425.58311620591974
27,9,motorbike,979.5042646229232,801.8915800630302
28,1,motorbike,465.5194753775752,626.4652141202783
28,4,motorbike,390.2312737613594,393.1875994236795
28,7,motorbike,784.7235749627073,427.5822329100242
28,9,motorbike,979.8096078377242,803.0590023371278
29,1,motorbike,465.3582251842263,626.5796606119784
29,4,motorbike,390.2312737613594,393.1875994236795
29,7,motorbike,785.1115918583034,427.3103721774988
29,9,motorbike,982.5006534667518,803.5762398429533
30,1,motorbike,465.3582251842263,626.5796606119784
30,4,motorbike,390.2312737613594,393.1875994236795
30,7,motorbike,786.0687885444556,429.2973757488766
30,9,motorbike,982.9768816221687,804.2957536277627
31,1,motorbike,465.5194753775752,626.4652141202783
31,4,motorbike,390.2312737613594,393.1875994236795
31,7,motorbike,787.0196525560544,431.2712335925929
31,9,motorbike,984.3722983835061,804.8329626690352
32,1,motorbike,465.5194753775752,626.4652141202783
32,4,motorbike,390.2312737613594,393.1875994236795
32,7,motorbike,791.2696327556553,443.7652632297318
32,9,motorbike,984.7325180227957,805.2797517055567
33,1,motorbike,465.5194753775752,626.4652141202783
33,4,motorbike,390.01265027276395,393.3664637953795
33,7,motorbike,792.5593009290656,445.3852277298835
33,9,motorbike,984.7854577334858,806.5250995439691
34,1,motorbike,465.5194753775752,626.4652141202783
34,4,motorbike,390.01265027276395,393.3664637953795
34,7,motorbike,792.5593009290656,445.3852277298835
34,9,motorbike,984.9111264517508,807.7188646129163
35,1,motorbike,465.5194753775752,626.4652141202783
35,4,motorbike,390.01265027276395,393.3664637953795
35,7,motorbike,793.8409769495878,446.99515321052206
35,9,motorbike,984.6711611719321,809.0978624372553
36,1,motorbike,465.68074468930473,626.3507540594064
36,4,motorbike,390.01265027276395,393.3664637953795
36,7,motorbike,794.5943011924073,446.47371831120813
36,9,motorbike,985.4490992135742,809.9157798866889
37,1,motorbike,465.5194753775752,626.4652141202783
37,4,motorbike,390.01265027276395,393.3664637953795
37,7,motorbike,794.9711029386775,446.2129042162146
37,9,motorbike,986.7109371884467,811.070504018513
38,1,motorbike,463.7949799304754,625.1108688653386
38,4,motorbike,390.01265027276395,393.3664637953795
38,7,motorbike,795.3479978142004,445.95202565914775
38,9,motorbike,987.614520839877,811.7930339967872
39,1,motorbike,463.7949799304754,625.1108688653386
39,4,motorbike,390.01265027276395,393.3664637953795
39,7,motorbike,796.4297711187669,447.6859627861705
39,9,motorbike,988.5624860524944,813.0758124475116
40,1,motorbike,463.7949799304754,625.1108688653386
40,4,motorbike,390.01265027276395,393.3664637953795
40,7,motorbike,797.5047465973463,449.40900391232884
